,sc2304,sc2305,sc2306,sc2307,sc2308,sc2309,sc2310
220,491.3,590.1,513.4,524.7,574.5,673.0,734.1
221,491.7,591.4,513.3,519.6,581.3,673.0,734.7
222,486.0,591.7,512.7,520.6,585.0,671.0,734.7
223,492.5,591.5,512.4,520.3,575.0,673.0,735.7
224,492.5,592.5,503.5,521.2,574.9,673.0,736.6
225,492.8,593.4,504.2,526.6,581.2,672.6,737.4
226,492.6,593.9,503.9,526.9,574.3,673.0,736.2
227,491.9,593.8,504.4,515.9,585.2,674.1,737.3
228,487.6,594.0,504.7,516.6,573.7,674.8,737.4
229,491.8,594.0,504.9,519.0,575.7,676.2,739.5
230,490.1,593.0,504.6,517.3,582.0,676.4,737.6
231,487.4,597.2,504.5,527.1,584.7,677.2,736.9
232,493.3,597.6,503.1,517.2,584.3,678.4,737.6
233,482.6,598.4,503.8,517.5,580.5,678.0,738.6
234,491.8,598.0,503.8,519.0,581.1,678.4,740.6
235,491.3,597.8,503.6,517.0,584.8,678.7,740.1
236,490.8,596.8,504.4,517.2,575.9,678.6,739.1
237,505.5,597.1,504.7,524.5,576.1,677.7,739.8
238,490.8,597.0,504.8,519.6,576.3,678.6,739.8
239,491.3,596.2,504.1,519.0,584.2,677.2,737.9
240,486.5,596.4,504.0,518.5,581.6,677.6,735.7
241,485.4,596.2,504.4,519.3,583.5,677.3,734.3
